id,word,reading,level,type,subtype,primary_meanings,sentence_ja,sentence_en,kanji_frequency_difficulty,kanji_usage_difficulty,kanji_in_n5_list
137,降りる,おりる,N5,word,,to descend (e.g. a mountain); to go down; to come down,ここで降りましょう。,Let's get off here.,9,6,false
138,終わる,おわる,N5,word,,to end; to come to an end; to finish,野球の試合は引き分けに終わった。,The baseball game ended in a draw.,7,6,false
139,音楽,おんがく,N5,word,,music,あの音楽は彼の気にさわる。,That music gets on his nerves.,8,6,false
140,女,おんな,N5,word,,woman; female; female lover,彼が戻ってきた時には、女は歩み去っていた。,"When he came back, the woman had walked off.",2,5,true
141,女の子,おんなのこ,N5,word,,girl; daughter; baby girl,その女の子達は、とても忙しい。,Those girls are very busy.,3,4,true
142,～回,～かい,N5,grammar_pattern,counter,counter for occurrences (~ times),,,,,false
143,～階,～かい,N5,grammar_pattern,counter,counter for stories (floors) of a building,,,,,false
144,外国,がいこく,N5,word,,foreign country,あなたは外国の本を持っていますか。,Do you have any foreign books?,4,4,true
145,外国人,がいこくじん,N5,word,,foreigner; foreign citizen; foreign national,「居住外国人」とは、どういう意味ですか。,"What does ""resident alien"" mean?",5,5,true
146,会社,かいしゃ,N5,word,,company; corporation; firm,彼の努力は会社の成長に貢献した。,His effort contributed to my company's growth.,4,5,false
147,階段,かいだん,N5,word,,stairs; stairway; staircase,その階段を上ってはいけません。,You must not go up the stairs.,9,7,false
148,買い物,かいもの,N5,word,,shopping; purchased goods,１日おきに買い物に行く。,I go shopping every other day.,5,5,false
149,買う,かう,N5,word,,to buy; to purchase; to value (highly),車を買うために貯金をしている。,I'm saving money for a car.,7,6,false
